,序列,书名,作者,仙草,粮草,干草,枯草,毒草
5510,12120,地球呼救,手指飞,0,0,1,0,8
5511,12121,学霸聊天群,孙帅出口成诗,2,0,0,0,8
5512,12122,我没想当影帝,油炸大金,2,0,0,0,8
5513,12123,登顶炼气师,斗勺,38,3,4,5,45
5514,12124,卜筑,争斤论两花花帽,4,1,0,0,1
5515,12125,玄元立道,木易7,4,0,2,0,1
5516,12126,全球高武,老鹰吃小鸡,87,4,4,4,20
5517,12127,寻尸人,洛琳琅,5,1,0,0,1
5518,12128,最强技能系统,都市大魔头,1,0,1,4,5
5519,12129,其实我是富二代,艾若潮汐,2,0,1,0,7
5520,12130,网游之瘟疫法师,焱森殇璃,0,0,1,1,3
5521,12131,走歪路的魔法师,想吃大鱼的猫,1,0,1,0,3
5522,12134,帝师,南宫吟,1,0,0,1,4
5523,12135,重生之修仙狂医,多笑天,0,0,0,0,5
5524,12136,运朝之主,枫雪乱,1,1,1,0,1
5525,12137,幻世仙门,严于,0,0,0,0,2
5526,12138,钉坟匠,腹饥子,1,0,0,0,0
5527,12139,我的夜店女老板,貌似纯洁,0,0,1,1,1
5528,12140,官途情路,西门吹雪,0,1,0,0,1
5529,12141,仕途笔记：风雨青云路,珍爱一生,3,0,0,0,1
5530,12142,仕途多娇,骑鹤人,0,0,0,0,2
5531,12143,修真小日子,霜打茄瓜,0,1,0,0,0
5532,12144,龙印神皇,我是大乌龟,1,0,1,0,0
5533,12145,我真是大作者,泡泡鱼,0,0,0,0,1
5534,12146,帝国吃相,牧尘客,19,0,0,0,5
5535,12147,百鬼传人,古明月夜,0,1,0,0,1
5536,12148,最后一个捉鬼师,风水先生,3,0,0,0,1
5537,12149,异闻档案,墨绿青苔,2,0,0,0,0
5538,12150,我的小妈是宇宙首富,宝巨崛起了,0,0,0,0,7
5539,12151,都市逍遥邪少,鸡汤豆脑,0,0,1,0,3
5540,12152,祖宗归来,一朵菊花,1,1,0,2,8
5541,12153,都市透视眼,唐红梪,1,0,0,0,1
5542,12154,我的极品女房东,玉米加农炮,1,0,0,0,1
5543,12155,我在万界当大佬,庄十三,1,1,0,0,2
5544,12156,我的杂货店很厉害,盗凉人,2,0,1,1,3
5545,12157,最强升级,庄十三,1,0,0,0,4
5546,12158,从刀剑开始的次元旅程,无幽无褛,0,1,1,0,3
5547,12159,忍界修正带,李四羊,2,0,1,0,5
5548,12160,都市古武太少,青春老了,0,0,0,0,1
5549,12161,绝品透视,愿闻其详,1,0,1,0,1
5550,12162,追美高手,无邪小正太,1,0,0,1,3
5551,12163,主战神,梦寂魂,0,0,0,0,0
5552,12164,绝世帝皇系统,君莫惜,0,0,0,0,2
5553,12165,疯狂升级系统,疯狂的萌萌,7,0,2,0,2
5554,12166,医药巨头,五彩贝壳,3,0,0,0,1
5555,12167,跨界攻略,开玩笑,0,0,0,0,0
5556,12168,漫威之超神科技系统,叫我东方就好,1,0,1,0,6
5557,12169,修炼我靠玩游戏,树火,3,0,2,0,1
5558,12170,运动为王,黑米锅巴,0,0,0,2,5
5559,12171,天玄地黄录,水木熊,0,0,1,0,9
5560,12172,国公府的赘婿,踏浪飘来,3,0,1,1,3
5561,12173,刀碎星河,猪小小,8,1,1,4,7
5562,12174,绿茵表演家,狂风徐徐,1,1,0,1,1
5563,12175,热血传奇之异世全职高手,战神放飞,2,0,0,1,8
5564,12176,网游大魔王,小妖萝,2,0,0,5,0
5565,12177,读心兵王,羽家大少,1,0,1,0,2
5566,12178,美女总裁的护花保镖,老九,2,0,0,0,3
5567,12179,超强战兵,玖月,2,0,0,0,2
5568,12180,携带吃鸡系统闯无限,顶尖忽悠,1,0,1,0,7
5569,12181,我成了周幽王,秋霜落,0,0,0,0,2
5570,12182,诸神游戏,缘分0,8,2,0,0,4
5571,12183,兵王归来有了老婆女儿,梅川马甲,1,0,0,0,3
5572,12184,拜见教主大人,封七月,17,2,2,1,6
5573,12185,近身战兵,成鹏,0,0,0,0,4
5574,12186,神级护花兵王,小钻风大王,1,1,0,0,5
5575,12187,极道兵神,超级老猪,0,0,0,0,6
5576,12188,娱乐之闪耀冰山,有鱼的天空,1,0,0,0,5
5577,12189,神墟,咸鱼,1,0,0,0,9
5578,12190,我有一台魔幻分析机,三阳天,1,2,3,0,4
5579,12191,截教次徒,戏说呓语,5,0,0,0,6
5580,12192,覆汉,榴弹怕水,122,11,7,4,35
5581,12193,刺客的自我修养,千雨飘摇,2,0,1,0,6
5582,12194,漫威世界的替身使者,无面凄凉,5,0,1,0,4
5583,12195,修仙从读档开始,宁不见,0,0,0,0,4
5584,12196,恐怖玩偶,地狱书生,1,0,0,1,3
5585,12197,警官杨前锋的故事,云峰松,3,2,0,1,1
5586,12198,绝地求生之电竞巅峰,小生无花,0,0,0,1,7
5587,12199,重生之上门修仙,生笔马靓,0,0,1,0,0
5588,12200,汉血丹心,流年书柬,4,0,0,0,6
5589,12201,真武星魂,夜东流,2,1,1,0,1
5590,12202,逍遥农场,海龙,2,2,1,0,4
5591,12203,原来我生而不凡,尼古拉斯狗剩子,0,0,1,0,4
5592,12204,快去创造奇迹,得了吧,0,0,0,0,3
5593,12205,假面骑士之命运,静好十一,1,1,0,0,3
5594,12206,我是至尊,风凌天下,9,0,1,0,14
5595,12207,剑魁,太上小君,3,2,1,0,7
5596,12208,歌武新纪元,沙发熊,0,0,0,1,4
5597,12209,苟过末日的我重生了,冬不语,6,0,1,0,7
5598,12211,修罗天帝,实验小白鼠,8,1,4,1,3
5599,12212,神血战士,银霜骑士,19,1,2,2,6
5600,12213,超强保镖,红鲤,1,1,0,3,2
5601,12214,发个微信去灵界,疯狂财神,4,1,0,0,6
5602,12215,特种兵神,林沐青,2,0,0,0,3
5603,12216,绝品猎艳兵王,蓝大天,2,0,0,0,6
5604,12217,古武少年,独孤逝水,2,0,0,0,13
5605,12218,湾区之王,磨砚少年,8,1,1,2,31
5606,12219,民国草根,二宝天使,4,0,0,0,2
5607,12220,我的黑科技眼镜,何一柯,2,0,0,1,4
5608,12221,网游之说服天下,乌贼大王,1,0,0,0,11
5609,12222,还好我有神级账号,天秀弟子,5,0,0,0,10
5610,12223,矩阵游戏,刹那辉煌,4,0,2,0,6
5611,12224,战国大司马,贱宗首席弟子,9,1,0,0,13
5612,12225,妙医鸿途,烟斗老哥,23,0,2,3,74
5613,12226,诸神游戏,缘分0,33,2,2,1,10
5614,12228,神话降临,如履,2,0,1,0,6
5615,12229,无敌强神豪系统,岁月流火,0,1,0,0,5
5616,12230,我只是个穿越者,十七筝,1,0,1,1,14
5617,12231,我从天界归来,我是军师,0,0,0,1,6
5618,12232,绝世天骄,雁门关外,3,2,1,0,2
5619,12233,洪荒之我为人祖,熊二先生,1,0,0,0,3
5620,12234,还是地球人狠,剑舞秀,11,1,3,0,3
5621,12235,祭之书,东方胜,0,0,0,0,16
5622,12236,超神学院的万界小店,一只星瞳,1,0,1,0,7
5623,12237,盛唐纨绔,愤怒的妖姬,5,0,0,1,8
5624,12238,一切从棋魂开始,王道一,7,1,1,1,2
5625,12239,神御九天,网络黑侠,14,2,3,0,7
5626,12240,文娱不朽,潇潇清枫,2,0,0,0,17
5627,12241,我真不是天王啊,青山乱步,1,0,0,0,4
5628,12242,魔尊也要当奶爸,夕下秋叶,0,3,0,0,9
5629,12243,剑域神帝,剑走偏锋,1,3,0,0,4
5630,12244,次元共享群,我的小泰迪,1,1,0,0,5
5631,12245,异常觉醒,灰小羊的狼,16,1,3,1,10
5632,12246,美食猎人,紫蓝色的猪,71,4,1,2,21
5633,12247,美食大暴走,Coo1,3,0,0,0,1
5634,12248,带着手机闯大明,愚公道,1,1,1,3,7
5635,12249,异界召唤之千古群雄,东天不冷,1,2,0,1,6
5636,12250,你可以叫我魔王,关外x,3,0,1,1,5
5637,12251,神奇之手,亿斤斤,1,0,0,0,8
5638,12252,提督的二次元大冒险,布莱德,0,5,0,0,3
5639,12253,型月世界的乱入者,厨子卫宫,9,0,3,0,4
5640,12254,我有一枚圣文字,刀兼,1,0,1,1,2
5641,12255,一个人打造火星农场,人山女,3,2,1,0,4
5642,12256,致四千年后,祈耳喵,20,0,0,0,11
5643,12257,我不是超级警察,我唐,4,2,2,1,2
5644,12258,回到古代当匠神,王不过霸,7,3,0,3,34
5645,12259,隋唐大猛士,木子蓝色,24,8,5,3,82
5646,12260,位面复制大师,千翠百恋,38,5,5,3,149
5647,12261,绝代神主,百里龙虾,6,2,0,2,53
5648,12262,海贼里的满级玩家,蚂蚁下山,2,0,0,1,9
5649,12263,漫威之我是金刚狼,诵心,0,0,0,0,3
5650,12264,降临美漫的巫师,王小吾,3,0,1,1,1
5651,12265,万界遨游之旅,可乐喝喝,1,0,0,0,6
5652,12266,国产超级队长,奈何桥卖豆浆,1,0,0,0,3
5653,12267,江山争雄,江左辰,4,1,0,0,1
5654,12268,代夏,骆宗山,1,0,0,0,6
5655,12269,重生明星音乐家,锦瑟华年,4,0,0,1,9
5656,12270,道法苍生,无边林海,1,0,0,0,7
5657,12271,蜀山问仙,赤杖真人,1,0,0,1,7
5658,12272,雷法为王,山向水口,1,1,1,0,5
5659,12273,江湖梦逍遥,湖胡思乱想,3,0,0,0,8
5660,12274,黄庭道主,妖僧花无缺,49,9,4,3,18
5661,12275,我的漫画家攻略,潇潇羽下,7,0,1,0,2
5662,12276,穿越从斗破开始,四季如东,4,0,0,1,8
5663,12277,大周昏君,谈古不论斤,1,1,1,0,5
5664,12278,锦衣春秋,沙漠,9,1,1,0,6
5665,12279,败家导演,秋刀斩鱼,0,1,1,1,2
5666,12280,我在美帝做神探,右转看风景,0,0,1,0,2
5667,12281,那可是名侠客,青丝留他方,0,0,0,0,6
5668,12282,至尊天命系统,寒修尘,1,0,0,0,4
5669,12283,错负轮回剑,小大毛,1,0,0,2,3
5670,12284,重生之一介枭雄,怒斩佩奇,1,0,0,0,7
5671,12285,诸天从蜘蛛开始,剑无云,1,1,0,0,7
5672,12286,重生之机甲大师,雨晴鱼,3,0,0,0,6
5673,12287,末日神奇,我打逆风局,3,0,1,0,4
5674,12288,断鸿归处飞云乱,芸渔歌,1,0,0,0,1
5675,12289,大国高科,房产大亨,0,1,0,1,6
5676,12290,我的丹田是地球,女孩穿短裙,0,0,0,1,6
5677,12291,武道人间,古月微凉,1,0,0,0,2
5678,12292,诸天神话帝皇召唤系统,正言,0,0,0,1,9
5679,12293,最强魔法皇帝,沿西,0,0,1,0,7
5680,12294,篮坛之氪金无敌,肉末大茄子,7,2,1,1,70
5681,12295,亚瑟王的现代崭新人生,参云子道长,1,2,1,0,1
5682,12296,我手下比你多,孒花少,0,0,0,0,4
5683,12297,万古第一狂帝,九狂,0,0,1,0,5
5684,12298,万古之王,快餐店,1,0,1,0,5
5685,12299,dota电竞之皇帝归来,黛达萝丝,0,0,0,0,0
5686,12300,怪物聊天群,泛舟填词,7,0,0,0,1
5687,12301,天选者游戏,木有才O,7,2,1,3,1
5688,12302,诸天世界我为帝,绿豆冰糖水,1,0,0,0,4
5689,12303,最废女婿,佛系焰,2,0,0,1,6
5690,12304,矩阵游戏,刹那辉煌,51,4,4,2,20
5691,12305,开局富可敌国,张晓歌,1,0,1,0,4
5692,12306,我的绝美房东,风中的阳光,0,0,1,1,4
5693,12307,随身仙家洞府,大竹,3,1,0,0,6
5694,12308,与你为敌,雪在烧,1,0,0,0,3
5695,12309,官路圣手,无问西东,0,0,0,1,3
5696,12310,娱乐霸主,云桥易搭萌萌哒,0,0,0,0,4
5697,12311,一路青云,淮左名猪,0,0,1,3,8
5698,12312,女总裁的至尊高手,莫语听风吟,0,0,0,0,5
5699,12313,召唤梦魇,滚开,107,6,2,6,26
5700,12314,充满○○○的物语世界,节操get！,15,4,3,0,11
5701,12315,从fate开始做主神,雨落残桥,1,1,1,0,11
5702,12316,怪兽家谱,江北梧桐树,0,0,0,0,2
5703,12317,仗剑符文之地,沉默的水羊,0,1,0,4,1
5704,12318,精灵大师直播间,寻梦初见,2,0,0,2,1
5705,12319,武道天狼,十七兄,1,0,1,0,0
5706,12320,反派驾临,东土大茄,0,0,2,0,5
5707,12321,都市全能道士,闲云野鹤,0,0,1,0,11
5708,12322,乡村小野医,一份盒饭,1,0,0,0,10
5709,12323,最强狂医,暮雪,1,0,1,1,8
5710,12324,重生之南漂时代,悄悄走过,3,1,3,0,3
5711,12325,我真的长生不老,初恋璀璨如夏花,21,2,0,2,6
5712,12326,救个校花当老婆,黑夜的瞳,2,2,1,3,13
5713,12327,神鼎天尊,徽州才子,2,0,1,2,3
5714,12328,楚臣,更俗,37,5,1,2,21
5715,12329,拜见教主大人(重生之魔教教主),封七月,54,6,2,3,15
5716,12330,西游之大娱乐家,清风小道童,16,0,0,1,9
5717,12331,美漫之究极生物,溺水的紫烟,1,0,0,0,4
5718,12332,如何扳倒女帝,秋来2,3,0,0,0,5
5719,12333,牟明,自身小卒,1,1,1,0,4
5720,12335,史前统治者归来,死神钓者,1,2,0,1,0
5721,12336,诸天改革者,树下螳螂,3,0,1,0,10
5722,12337,洪荒之神龟,一而再而三,2,0,0,1,7
5723,12338,万界仙帝,山上梧桐,0,0,0,0,6
5724,12339,我在西游有座矿,笑笑书生,2,0,0,0,9
5725,12340,文娱从自媒体开始,温良恭俭酷,1,0,0,0,5
5726,12341,元婴真人在异界,至尊宝,2,0,1,0,20
5727,12343,我是至尊,风凌天下,31,3,2,3,101
5728,12344,全球诸天时代,化三生,3,1,0,0,2
5729,12345,血精灵崛起,抄录姬,3,0,2,1,3
5730,12346,成神从搓装备开始,抚琴为卿念,1,0,0,3,3
5731,12347,宗主人呢,牧古辰钟,2,0,1,0,6
5732,12348,黄泉边上种百草,叶善司,0,0,0,0,7
5733,12349,在仙侠世界拍电影,味道懵懵的,1,0,1,1,3
5734,12350,娱乐小导演,大风扶摇,3,1,0,0,3
5735,12351,我是猫大王,转角吻猪,12,2,1,0,6
5736,12352,次元诸天壁,此路彼方,4,2,1,0,3
